Statistik från Skolverket, https://www.skolverket.se

Grundskola - Relationen mellan nationella prov och slutbetyg årskurs 9, svenska/svenska som andraspråk, matematik och engelska
Valt läsår: 2024/25

Exporten visar statistik om det finns minst 15 elever i årskurs 9 med både slutbetyg och provbetyg i 
ämnena svenska, matematik eller engelska.
Om data saknas visas en prick (.) istället för utfall.

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Svenska, antal elever med provbetyg och slutbetyg;Svenska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Matematik, antal elever med provbetyg och slutbetyg;Matematik, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med lika slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med högre slutbetyg jämfört med provbetyget;Engelska, antal elever med provbetyg och slutbetyg;Engelska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Svenska som andraspråk, antal elever med provbetyg och slutbetyg;Svenska som andraspråk, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med högre slutbetyg jämfört med provbetyget;
HagaLyckebyskolan;81680693;Haninge;0136;Kommunal;Haninge kommun;2120000084;79;1,3;50,6;48,1;79;1,3;57,0;41,8;83;.;85,5;14,5;.;.;.;.;
Innovitaskolan Rudan;17957898;Haninge;0136;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;127;1,6;83,5;15,0;134;2,2;64,2;33,6;127;9,4;81,9;8,7;.;.;.;.;
JENSEN grundskola Tungelsta;30255409;Haninge;0136;Enskild;Jensen Education College AB;5566358759;31;.;80,6;19,4;32;3,1;87,5;9,4;32;9,4;84,4;6,3;.;.;.;.;
Ribbyskolan;59497255;Haninge;0136;Kommunal;Haninge kommun;2120000084;130;2,3;52,3;45,4;154;0,6;50,6;48,7;158;4,4;78,5;17,1;28;3,6;89,3;7,1;
Söderbymalmsskolan;10035236;Haninge;0136;Kommunal;Haninge kommun;2120000084;131;3,8;41,2;55,0;158;1,9;73,4;24,7;157;14,6;72,6;12,7;28;.;53,6;46,4;
Tungelsta skola;38975788;Haninge;0136;Kommunal;Haninge kommun;2120000084;72;.;50,0;50,0;71;.;78,9;21,1;74;37,8;58,1;4,1;.;.;.;.;
Vendelsömalmsskolan;72266104;Haninge;0136;Kommunal;Haninge kommun;2120000084;72;1,4;19,4;79,2;72;20,8;45,8;33,3;70;7,1;82,9;10,0;.;.;.;.;
Gränsskolan;29991096;Haparanda;2583;Kommunal;Haparanda kommun;2120002775;70;2,9;65,7;31,4;84;.;51,2;48,8;87;34,5;56,3;9,2;19;.;47,4;52,6;
Heby skola 7-9;36374693;Heby;0331;Kommunal;Heby kommun;2120002049;70;5,7;31,4;62,9;83;.;86,7;13,3;83;4,8;89,2;6,0;.;.;.;.;
Östervåla skola 7-9;88091927;Heby;0331;Kommunal;Heby kommun;2120002049;67;6,0;62,7;31,3;72;5,6;63,9;30,6;72;13,9;80,6;5,6;.;.;.;.;
Vasaskolan 7-9;35494110;Hedemora;2083;Kommunal;Hedemora kommun;2120002254;150;4,0;48,0;48,0;156;1,3;59,6;39,1;151;11,9;75,5;12,6;.;.;.;.;
Anneroskolan;86764194;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;18;.;83,3;16,7;31;3,2;71,0;25,8;35;2,9;82,9;14,3;.;.;.;.;
Elinebergsskolan;41811292;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;136;8,1;63,2;28,7;167;1,2;61,1;37,7;172;15,7;81,4;2,9;33;15,2;66,7;18,2;
Fridaskolan Helsingborg;24352906;Helsingborg;1283;Enskild;Fridaskolorna AB;5564515988;51;3,9;47,1;49,0;62;.;43,5;56,5;65;.;3,1;96,9;15;.;60,0;40,0;
Gantofta skola;28424574;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;33;3,0;78,8;18,2;34;.;44,1;55,9;35;8,6;80,0;11,4;.;.;.;.;
Gläntanskolan;67721487;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;23;.;69,6;30,4;36;8,3;83,3;8,3;38;5,3;94,7;.;16;6,3;68,8;25,0;
Gustavslundsskolan;30731471;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;38;.;81,6;18,4;47;4,3;89,4;6,4;47;10,6;85,1;4,3;.;.;.;.;
Holstagårdsskolan;28754789;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;40;2,5;62,5;35,0;42;.;76,2;23,8;41;.;43,9;56,1;.;.;.;.;
Högastensskolan;13175575;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;82;7,3;76,8;15,9;110;.;76,4;23,6;116;10,3;77,6;12,1;33;.;84,8;15,2;
Innovitaskolan Helsingborg;16688128;Helsingborg;1283;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;93;5,4;78,5;16,1;102;.;91,2;8,8;104;33,7;64,4;1,9;.;.;.;.;
Internationella Engelska Skolan Helsingborg;82402144;Helsingborg;1283;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;32;3,1;87,5;9,4;66;.;81,8;18,2;68;1,5;92,6;5,9;33;.;84,8;15,2;
Kubikskolan Dibber;82943624;Helsingborg;1283;Enskild;Dibber Kubikskolan AB;5565858619;38;2,6;60,5;36,8;68;.;66,2;33,8;68;13,2;76,5;10,3;27;.;59,3;40,7;
Kunskapsskolan Helsingborg;48798589;Helsingborg;1283;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;103;.;85,4;14,6;106;.;83,0;17,0;108;.;99,1;0,9;.;.;.;.;
Laröds skola;87251726;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;50;4,0;78,0;18,0;57;.;89,5;10,5;55;10,9;83,6;5,5;.;.;.;.;
Maria Parkskolan;42164778;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;125;.;61,6;38,4;155;.;67,7;32,3;155;3,9;87,7;8,4;30;.;56,7;43,3;
Musikgrundskolan Synkopen;55200547;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;22;22,7;50,0;27,3;27;.;81,5;18,5;27;25,9;74,1;.;.;.;.;.;
Noblaskolan Mariastaden;57590681;Helsingborg;1283;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;44;.;72,7;27,3;43;.;44,2;55,8;42;2,4;97,6;.;.;.;.;.;
Påarps skola;66351593;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;33;9,1;54,5;36,4;36;5,6;72,2;22,2;35;31,4;60,0;8,6;.;.;.;.;
Rydebäcksskolan;40385157;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;96;1,0;85,4;13,5;96;.;88,5;11,5;97;12,4;87,6;.;.;.;.;.;
Sally Bauerskolans Högstadium;53515359;Helsingborg;1283;Enskild;Ideella Föreningen Sally Bauerskolorna;8025373088;42;.;95,2;4,8;41;.;75,6;24,4;37;5,4;94,6;.;.;.;.;.;
Slottsvångsskolan;63957271;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;.;.;.;.;29;.;72,4;27,6;31;9,7;90,3;.;22;4,5;68,2;27,3;
Svensgårdsskolan;89693828;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;43;9,3;79,1;11,6;44;4,5;81,8;13,6;44;20,5;65,9;13,6;.;.;.;.;
Tågaborgsskolan;87948789;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;69;1,4;79,7;18,8;93;.;91,4;8,6;87;9,2;67,8;23,0;19;.;52,6;47,4;
Vittra Adolfsberg;71069736;Helsingborg;1283;Enskild;Vittraskolorna AB;5564586716;.;.;.;.;21;.;85,7;14,3;22;.;90,9;9,1;.;.;.;.;
Vittra Landborgen;90080902;Helsingborg;1283;Enskild;Vittraskolorna AB;5564586716;.;.;.;.;21;9,5;90,5;.;22;4,5;90,9;4,5;.;.;.;.;
Västra Berga skola;28060171;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;20;.;40,0;60,0;37;.;94,6;5,4;40;.;92,5;7,5;20;5,0;30,0;65,0;
Wieselgrensskolan;51014228;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;.;.;.;.;73;4,1;63,0;32,9;73;2,7;87,7;9,6;61;3,3;85,2;11,5;
Ättekullaskolan;64728140;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;18;16,7;44,4;38,9;31;3,2;87,1;9,7;29;6,9;65,5;27,6;.;.;.;.;
Altorpskolan A C;84724191;Herrljunga;1466;Kommunal;Herrljunga kommun;2120001520;44;6,8;70,5;22,7;39;5,1;89,7;5,1;42;23,8;71,4;4,8;.;.;.;.;
Altorpskolan B D;38295531;Herrljunga;1466;Kommunal;Herrljunga kommun;2120001520;43;9,3;53,5;37,2;42;2,4;78,6;19,0;47;48,9;46,8;4,3;.;.;.;.;
Guldkroksskolan 7-9;81342093;Hjo;1497;Kommunal;Hjo kommun;2120001728;91;9,9;58,2;31,9;96;1,0;78,1;20,8;100;26,0;72,0;2,0;.;.;.;.;
Petreskolan;17291574;Hofors;2104;Kommunal;Hofors kommun;2120002296;70;4,3;55,7;40,0;77;1,3;79,2;19,5;84;4,8;91,7;3,6;.;.;.;.;
Annerstaskolan;79012683;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;21;.;61,9;38,1;41;.;68,3;31,7;44;9,1;90,9;.;23;4,3;65,2;30,4;
Balingsnässkolan;13654969;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;48;8,3;77,1;14,6;55;5,5;85,5;9,1;55;3,6;56,4;40,0;.;.;.;.;
Glömstaskolan;15218794;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;65;3,1;58,5;38,5;72;.;72,2;27,8;71;1,4;83,1;15,5;15;.;60,0;40,0;
Internationella Engelska Skolan Huddinge;97942210;Huddinge;0126;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;72;5,6;77,8;16,7;137;0,7;75,9;23,4;143;.;89,5;10,5;64;12,5;68,8;18,8;
Internationella Engelska Skolan Länna;22127801;Huddinge;0126;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;69;5,8;84,1;10,1;89;1,1;80,9;18,0;90;.;98,9;1,1;.;.;.;.;
Kungsklippeskolan;89510449;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;50;8,0;58,0;34,0;50;.;84,0;16,0;50;2,0;94,0;4,0;.;.;.;.;
Kvarnbergsskolan;54516737;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;174;8,6;62,1;29,3;196;.;56,6;43,4;204;20,6;71,6;7,8;23;4,3;82,6;13,0;
Källbrinksskolan;41213404;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;139;16,5;64,0;19,4;142;11,3;59,2;29,6;137;4,4;80,3;15,3;.;.;.;.;
Lärande Grundskola Skapa;10063280;Huddinge;0126;Enskild;The Learning Lab i Stockholm AB;5568097405;52;5,8;53,8;40,4;53;.;75,5;24,5;53;7,5;86,8;5,7;.;.;.;.;
Segeltorpsskolan;15483394;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;97;4,1;49,5;46,4;105;4,8;57,1;38,1;104;12,5;81,7;5,8;.;.;.;.;
Södertörns friskola;22019000;Huddinge;0126;Enskild;Södertörns Friskola Ekonomisk Förening;7696004238;119;10,1;69,7;20,2;121;5,8;82,6;11,6;117;1,7;80,3;17,9;.;.;.;.;
Trångsundsskolan;42601396;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;65;.;61,5;38,5;68;.;72,1;27,9;71;8,5;78,9;12,7;.;.;.;.;
Vistaskolan;50783450;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;63;1,6;33,3;65,1;80;.;55,0;45,0;78;3,8;80,8;15,4;.;.;.;.;
Vårbyskolan;64949601;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;.;.;.;.;44;.;84,1;15,9;46;10,9;84,8;4,3;33;3,0;84,8;12,1;
Östra grundskolan;39229061;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;76;2,6;72,4;25,0;109;1,8;49,5;48,6;112;8,0;78,6;13,4;34;.;73,5;26,5;
Ede skola F-6;83627088;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;61;3,3;65,6;31,1;58;5,2;65,5;29,3;64;9,4;79,7;10,9;.;.;.;.;
Hudikskolan 7-9;77537602;Hudiksvall;2184;Enskild;Hudikskolan AB;5592976954;63;6,3;68,3;25,4;61;.;55,7;44,3;62;.;69,4;30,6;.;.;.;.;
Iggesunds skola;80631297;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;45;6,7;82,2;11,1;48;.;85,4;14,6;48;12,5;77,1;10,4;.;.;.;.;
Läroverket;23786565;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;144;7,6;53,5;38,9;149;0,7;51,0;48,3;148;8,1;78,4;13,5;.;.;.;.;
Östra skolan;50190330;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;112;2,7;51,8;45,5;118;0,8;55,9;43,2;121;5,8;76,9;17,4;.;.;.;.;
Albäcksskolan 1;55252119;Hultsfred;0860;Kommunal;Hultsfreds kommun;2120000712;56;7,1;58,9;33,9;60;.;88,3;11,7;65;6,2;84,6;9,2;.;.;.;.;
Albäcksskolan 2;84230115;Hultsfred;0860;Kommunal;Hultsfreds kommun;2120000712;20;5,0;75,0;20,0;32;.;84,4;15,6;32;.;75,0;25,0;.;.;.;.;
Nya Centralskolan i Virserum AB;12289594;Hultsfred;0860;Enskild;Prolympia Virserum AB;5568088743;27;.;88,9;11,1;35;5,7;74,3;20,0;35;.;77,1;22,9;.;.;.;.;
Örnaskolan;56192472;Hylte;1315;Kommunal;Hylte kommun;2120001207;83;8,4;51,8;39,8;113;0,9;65,5;33,6;112;13,4;75,0;11,6;16;.;43,8;56,3;
Futurum 7-9;22385992;Håbo;0305;Kommunal;Håbo kommun;2120000241;87;5,7;56,3;37,9;91;3,3;41,8;54,9;93;1,1;81,7;17,2;.;.;.;.;
Gransäterskolan;90826660;Håbo;0305;Kommunal;Håbo kommun;2120000241;41;14,6;53,7;31,7;43;.;86,0;14,0;46;21,7;67,4;10,9;.;.;.;.;
Gröna dalen;49674763;Håbo;0305;Kommunal;Håbo kommun;2120000241;45;4,4;62,2;33,3;50;4,0;78,0;18,0;50;26,0;74,0;.;.;.;.;.;
Läraskolan;28306495;Håbo;0305;Enskild;Läraskolan i Bålsta AB;5567275663;22;4,5;81,8;13,6;20;.;75,0;25,0;21;.;95,2;4,8;.;.;.;.;
Potentia Education;15081255;Håbo;0305;Enskild;Potentia education AB;5567521553;29;.;75,9;24,1;27;.;77,8;22,2;29;10,3;89,7;.;.;.;.;.;
Västerängsskolan;29299366;Håbo;0305;Kommunal;Håbo kommun;2120000241;48;4,2;64,6;31,3;49;2,0;42,9;55,1;49;12,2;57,1;30,6;.;.;.;.;
Klockarhagsskolan åk 7-9;72295739;Hällefors;1863;Kommunal;Hällefors kommun;2120001942;41;7,3;63,4;29,3;58;1,7;74,1;24,1;55;1,8;96,4;1,8;15;6,7;66,7;26,7;
Funäsdalens skola;72295998;Härjedalen;2361;Kommunal;Härjedalens kommun;2120002510;24;.;87,5;12,5;21;.;76,2;23,8;23;43,5;56,5;.;.;.;.;.;
Sonfjällsskolan;85325551;Härjedalen;2361;Kommunal;Härjedalens kommun;2120002510;19;.;47,4;52,6;21;.;61,9;38,1;21;.;85,7;14,3;.;.;.;.;
Södra Skolan;79022806;Härjedalen;2361;Kommunal;Härjedalens kommun;2120002510;38;5,3;68,4;26,3;47;.;76,6;23,4;48;2,1;89,6;8,3;.;.;.;.;
Hedda Wisingskolan;16490220;Härnösand;2280;Kommunal;Härnösands kommun;2120002403;83;4,8;72,3;22,9;96;.;51,0;49,0;101;5,0;79,2;15,8;15;.;73,3;26,7;
Kastellskolan;69454219;Härnösand;2280;Enskild;Kastellskolan;8880008365;23;.;56,5;43,5;22;.;63,6;36,4;24;.;95,8;4,2;.;.;.;.;
Wendela Hellmanskolan;97940004;Härnösand;2280;Kommunal;Härnösands kommun;2120002403;122;0,8;74,6;24,6;141;.;73,0;27,0;149;12,1;77,2;10,7;23;.;78,3;21,7;
Båtsmansskolan 7-9;37772170;Härryda;1401;Kommunal;Härryda kommun;2120001264;58;5,2;65,5;29,3;57;1,8;63,2;35,1;59;3,4;76,3;20,3;.;.;.;.;
Djupedalskolan 7-9;91978548;Härryda;1401;Kommunal;Härryda kommun;2120001264;70;7,1;80,0;12,9;71;4,2;88,7;7,0;75;24,0;66,7;9,3;.;.;.;.;
Ekdalaskolan 7-9;69723336;Härryda;1401;Kommunal;Härryda kommun;2120001264;77;2,6;57,1;40,3;95;2,1;83,2;14,7;93;18,3;76,3;5,4;.;.;.;.;
Fagerhultsskolan 4-9;80171267;Härryda;1401;Kommunal;Härryda kommun;2120001264;38;.;57,9;42,1;44;2,3;36,4;61,4;45;.;86,7;13,3;.;.;.;.;
Fridaskolan, Härryda;27274628;Härryda;1401;Enskild;Fridaskolorna AB;5564515988;62;.;56,5;43,5;70;.;55,7;44,3;68;30,9;64,7;4,4;.;.;.;.;
Landvetterskolan 7-9 ABC;28836025;Härryda;1401;Kommunal;Härryda kommun;2120001264;58;5,2;75,9;19,0;64;4,7;67,2;28,1;61;.;93,4;6,6;.;.;.;.;
Landvetterskolan 7-9 DEF;29069124;Härryda;1401;Kommunal;Härryda kommun;2120001264;45;2,2;57,8;40,0;50;4,0;70,0;26,0;50;6,0;90,0;4,0;.;.;.;.;
Rävlandaskolan 7-9;34127854;Härryda;1401;Kommunal;Härryda kommun;2120001264;32;.;75,0;25,0;35;.;57,1;42,9;37;40,5;59,5;.;.;.;.;.;
Önnerödsskolan 4-9;57457346;Härryda;1401;Kommunal;Härryda kommun;2120001264;71;.;78,9;21,1;72;.;38,9;61,1;70;18,6;78,6;2,9;.;.;.;.;
Bjärnums skola F-9;65212509;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;52;5,8;75,0;19,2;58;1,7;48,3;50,0;59;28,8;64,4;6,8;.;.;.;.;
Finjasjöparkskolan Hässleholm;79864142;Hässleholm;1293;Enskild;Skolalliansen i Sverige AB;5567497051;49;4,1;69,4;26,5;47;.;55,3;44,7;51;7,8;72,5;19,6;.;.;.;.;
Furutorpskolan 4-9;78602001;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;57;12,3;63,2;24,6;59;3,4;78,0;18,6;55;29,1;61,8;9,1;.;.;.;.;
Hässleholms Montessoriskola F-9;28804882;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;30;6,7;63,3;30,0;29;3,4;75,9;20,7;30;3,3;80,0;16,7;.;.;.;.;
Hästveda skola F-9;56398338;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;20;.;85,0;15,0;24;.;58,3;41,7;21;9,5;81,0;9,5;.;.;.;.;
Internationella Engelska Skolan Hässleholm;79716826;Hässleholm;1293;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;25;.;84,0;16,0;55;9,1;63,6;27,3;53;5,7;92,5;1,9;24;4,2;70,8;25,0;
Linnéskolan F-9;84432632;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;33;24,2;63,6;12,1;46;15,2;73,9;10,9;45;13,3;75,6;11,1;.;.;.;.;
Läredaskolan F-9;29689372;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;62;6,5;77,4;16,1;87;.;67,8;32,2;86;14,0;79,1;7,0;24;.;41,7;58,3;
Tyringe skola F-9;98058756;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;48;6,3;85,4;8,3;59;10,2;57,6;32,2;55;27,3;72,7;.;.;.;.;.;
Vannarödsskolan 6-9;93845278;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;37;5,4;35,1;59,5;39;.;33,3;66,7;39;7,7;79,5;12,8;.;.;.;.;
Västerskolan F-9;75318783;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;74;6,8;71,6;21,6;96;10,4;69,8;19,8;94;3,2;91,5;5,3;20;5,0;65,0;30,0;
Bruksskolan;15973939;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;39;2,6;74,4;23,1;42;7,1;52,4;40,5;44;18,2;77,3;4,5;.;.;.;.;
Brunnbyskolan;95113658;Höganäs;1284;Enskild;Brunnby Skola M-I Handelsbolag;9167744359;23;.;78,3;21,7;22;4,5;86,4;9,1;23;21,7;73,9;4,3;.;.;.;.;
Jonstorpsskolan;83983639;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;54;16,7;68,5;14,8;53;.;69,8;30,2;54;22,2;68,5;9,3;.;.;.;.;
Lerbergsskolan;10592650;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;62;.;66,1;33,9;64;.;81,3;18,8;64;.;87,5;12,5;.;.;.;.;
Nyhamnsskolan;85928436;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;32;3,1;59,4;37,5;31;6,5;71,0;22,6;33;6,1;78,8;15,2;.;.;.;.;
Tornlyckeskolan;88839958;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;19;10,5;68,4;21,1;36;.;63,9;36,1;38;18,4;73,7;7,9;15;.;73,3;26,7;
Vikenskolan;89335715;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;68;1,5;73,5;25,0;69;5,8;87,0;7,2;70;5,7;91,4;2,9;.;.;.;.;
Fröviskolan 6-9;78308250;Högsby;0821;Kommunal;Högsby kommun;2120000688;32;.;71,9;28,1;46;.;32,6;67,4;48;27,1;60,4;12,5;15;.;86,7;13,3;
Frostaskolan 7-9;38299211;Hörby;1266;Kommunal;Hörby kommun;2120001108;64;6,3;48,4;45,3;77;5,2;68,8;26,0;88;13,6;78,4;8,0;.;.;.;.;
Georgshillsskolan 4-9;90834434;Hörby;1266;Kommunal;Hörby kommun;2120001108;50;.;92,0;8,0;50;.;90,0;10,0;53;1,9;84,9;13,2;.;.;.;.;
Ludvigsborgs friskola;52665905;Hörby;1266;Enskild;Ludvigsborgs Fristående Skola, Ek. Förening;7164396918;33;6,1;69,7;24,2;30;.;53,3;46,7;31;6,5;80,6;12,9;.;.;.;.;
Emiliaskolan Höörs waldorfsk.;63846783;Höör;1267;Enskild;Föreningen Emiliaskolan;8420007984;19;.;52,6;47,4;24;.;70,8;29,2;24;4,2;91,7;4,2;.;.;.;.;
Ringsjöskolan;82942801;Höör;1267;Kommunal;Höörs kommun;2120001116;116;3,4;67,2;29,3;118;.;58,5;41,5;119;37,0;50,4;12,6;.;.;.;.;
Sätoftaskolan;35670754;Höör;1267;Kommunal;Höörs kommun;2120001116;52;1,9;63,5;34,6;45;2,2;68,9;28,9;53;.;77,4;22,6;.;.;.;.;
Östra skolan;86851817;Jokkmokk;2510;Kommunal;Jokkmokks kommun;2120002676;31;22,6;61,3;16,1;38;.;55,3;44,7;37;10,8;62,2;27,0;.;.;.;.;
Björkebyskolan;40847752;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;148;4,1;55,4;40,5;160;1,3;86,3;12,5;155;12,3;77,4;10,3;17;5,9;52,9;41,2;
Fjällenskolan;15080815;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;51;9,8;52,9;37,3;63;.;41,3;58,7;65;4,6;67,7;27,7;.;.;.;.;
Internationella Engelska Skolan Järfälla;79093755;Järfälla;0123;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;113;0,9;85,8;13,3;115;0,9;86,1;13,0;114;3,5;86,8;9,6;.;.;.;.;
Kvarnskolan;77763178;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;92;10,9;73,9;15,2;121;5,0;76,0;19,0;120;5,0;83,3;11,7;29;3,4;86,2;10,3;
Källtorpskolan;17287315;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;93;5,4;59,1;35,5;98;.;68,4;31,6;98;4,1;85,7;10,2;.;.;.;.;
Viksjöskolan;98925408;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;199;3,0;49,2;47,7;202;4,5;77,2;18,3;213;1,4;77,0;21,6;.;.;.;.;
Vittra Jakobsberg;66634449;Järfälla;0123;Enskild;Vittraskolorna AB;5564586716;20;.;50,0;50,0;40;.;77,5;22,5;44;.;81,8;18,2;21;.;66,7;33,3;
Alfred Dalinskolan;85416841;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;164;3,7;79,9;16,5;218;3,7;80,7;15,6;224;17,9;74,6;7,6;58;.;55,2;44,8;
Attarpsskolan 7-9;40546319;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;142;.;60,6;39,4;143;3,5;58,7;37,8;142;23,9;69,7;6,3;.;.;.;.;
Flahultsskolan;28849109;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;147;8,8;64,6;26,5;144;1,4;65,3;33,3;151;29,8;65,6;4,6;.;.;.;.;
Internationella Engelska Skolan Jönköping;86499334;Jönköping;0680;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;53;3,8;67,9;28,3;94;1,1;97,9;1,1;97;17,5;75,3;7,2;42;2,4;61,9;35,7;
Junedalsskolan;20696736;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;278;2,2;85,3;12,6;286;1,0;69,2;29,7;293;11,3;85,3;3,4;.;.;.;.;
Kunskapsskolan Jönköping;86562542;Jönköping;0680;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;52;1,9;36,5;61,5;64;1,6;57,8;40,6;66;19,7;71,2;9,1;17;.;52,9;47,1;
Ljungarumsskolan 7-9;84917564;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;119;5,0;55,5;39,5;133;0,8;45,1;54,1;136;21,3;68,4;10,3;.;.;.;.;
Prolympia, Jönköping;95673344;Jönköping;0680;Enskild;Prolympia AB;5567026454;106;4,7;50,0;45,3;105;1,9;69,5;28,6;107;11,2;72,0;16,8;.;.;.;.;
Ribbaskolan 7-9;83919671;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;94;2,1;40,4;57,4;95;3,2;61,1;35,8;97;20,6;71,1;8,2;.;.;.;.;
Rosenlundsskolan 7-9;96558008;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;123;7,3;63,4;29,3;161;.;90,1;9,9;160;40,0;59,4;0,6;37;.;70,3;29,7;
Sanda högstadium;98088982;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;72;15,3;51,4;33,3;73;2,7;68,5;28,8;75;33,3;61,3;5,3;.;.;.;.;
Stadsgårdsskolan;12759583;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;62;8,1;61,3;30,6;104;.;72,1;27,9;105;24,8;64,8;10,5;44;.;77,3;22,7;
Strandskolan;23250615;Jönköping;0680;Enskild;Jönköpings Kristna Skolförening;8260017648;19;.;78,9;21,1;18;.;66,7;33,3;15;6,7;86,7;6,7;.;.;.;.;
Innovitaskolan Kalix;20525218;Kalix;2514;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;17;.;58,8;41,2;16;.;81,3;18,8;15;40,0;46,7;13,3;.;.;.;.;
Manhemsskolan;10617819;Kalix;2514;Kommunal;Kalix kommun;2120002692;104;3,8;62,5;33,7;106;1,9;68,9;29,2;112;9,8;75,9;14,3;.;.;.;.;
Falkenbergsskolan;99856371;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;84;7,1;59,5;33,3;88;4,5;78,4;17,0;93;19,4;74,2;6,5;.;.;.;.;
