Statistik från Skolverket, https://www.skolverket.se

Grundskola - Relationen mellan nationella prov och slutbetyg årskurs 9, svenska/svenska som andraspråk, matematik och engelska
Valt läsår: 2022/23

Exporten visar statistik om det finns minst 15 elever i årskurs 9 med både slutbetyg och provbetyg i 
ämnena svenska, matematik eller engelska.
Om data saknas visas en prick (.) istället för utfall.

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Svenska, antal elever med provbetyg och slutbetyg;Svenska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Matematik, antal elever med provbetyg och slutbetyg;Matematik, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med lika slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med högre slutbetyg jämfört med provbetyget;Engelska, antal elever med provbetyg och slutbetyg;Engelska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Svenska som andraspråk, antal elever med provbetyg och slutbetyg;Svenska som andraspråk, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med högre slutbetyg jämfört med provbetyget;
Fridhemsskolan;48373752;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;71;7,0;57,7;35,2;70;4,3;75,7;20,0;68;48,5;51,5;.;.;.;.;.;
Estetiska skolan, högstadiet;99375199;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;45;6,7;66,7;26,7;46;8,7;80,4;10,9;46;19,6;73,9;6,5;.;.;.;.;
Minnebergsskolan;55958613;Arvika;1784;Kommunal;Arvika kommun;2120001892;160;8,8;70,0;21,3;183;2,7;66,1;31,1;179;22,3;67,6;10,1;.;.;.;.;
Sjöängsskolan;15766661;Askersund;1882;Kommunal;Askersunds kommun;2120001983;95;14,7;66,3;18,9;96;5,2;79,2;15,6;96;18,8;68,8;12,5;.;.;.;.;
Domarhagsskolan;87516620;Avesta;2084;Kommunal;Avesta kommun;2120002262;55;9,1;74,5;16,4;87;.;85,1;14,9;86;12,8;87,2;.;22;4,5;72,7;22,7;
Johan-Olovskolan;48240990;Avesta;2084;Kommunal;Avesta kommun;2120002262;38;2,6;34,2;63,2;38;5,3;65,8;28,9;39;15,4;71,8;12,8;.;.;.;.;
Åvestadalskolan;30454178;Avesta;2084;Kommunal;Avesta kommun;2120002262;102;4,9;56,9;38,2;110;0,9;80,9;18,2;112;17,9;79,5;2,7;.;.;.;.;
Bengtsgården;28484259;Bengtsfors;1460;Kommunal;Bengtsfors kommun;2120001470;58;6,9;74,1;19,0;72;5,6;88,9;5,6;71;4,2;90,1;5,6;15;.;73,3;26,7;
Myrvikens skola;56709330;Berg;2326;Kommunal;Bergs kommun;2120002502;29;17,2;44,8;37,9;29;.;58,6;41,4;26;15,4;73,1;11,5;.;.;.;.;
Svenstaviks skola 7-9;63849173;Berg;2326;Kommunal;Bergs kommun;2120002502;27;14,8;51,9;33,3;37;2,7;73,0;24,3;36;8,3;83,3;8,3;.;.;.;.;
Castorskolan 4-9;81730469;Bjurholm;2403;Kommunal;Bjurholms kommun;2120002833;26;7,7;73,1;19,2;25;.;72,0;28,0;25;.;100,0;.;.;.;.;.;
Ekeby skola;56636046;Bjuv;1260;Kommunal;Bjuvs kommun;2120001041;34;5,9;26,5;67,6;37;8,1;54,1;37,8;37;18,9;67,6;13,5;.;.;.;.;
Jens Billeskolan;63754384;Bjuv;1260;Kommunal;Bjuvs kommun;2120001041;26;3,8;61,5;34,6;41;2,4;56,1;41,5;41;9,8;82,9;7,3;.;.;.;.;
Varagårdsskolan;10419361;Bjuv;1260;Kommunal;Bjuvs kommun;2120001041;43;7,0;69,8;23,3;67;.;56,7;43,3;71;16,9;71,8;11,3;25;12,0;68,0;20,0;
Brönjaskolan;60633912;Boden;2582;Kommunal;Bodens kommun;2120002767;101;16,8;56,4;26,7;103;.;37,9;62,1;103;20,4;75,7;3,9;.;.;.;.;
Fria Emilia;98998541;Boden;2582;Enskild;Friskola Fria Emilia Boden ekonomisk förening;7696083455;26;3,8;76,9;19,2;24;.;66,7;33,3;24;.;70,8;29,2;.;.;.;.;
Noblaskolan Boden;40708452;Boden;2582;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;58;3,4;74,1;22,4;62;1,6;83,9;14,5;62;8,1;77,4;14,5;.;.;.;.;
Stureskolan;83862028;Boden;2582;Kommunal;Bodens kommun;2120002767;60;.;70,0;30,0;77;5,2;83,1;11,7;74;17,6;75,7;6,8;17;.;58,8;41,2;
Bollebygdskolan 7-9;60372258;Bollebygd;1443;Kommunal;Bollebygds kommun;2120002973;102;5,9;66,7;27,5;107;2,8;88,8;8,4;103;30,1;67,0;2,9;.;.;.;.;
Alirskolan 7-9;65024773;Bollnäs;2183;Kommunal;Bollnäs kommun;2120002361;43;14,0;69,8;16,3;91;.;41,8;58,2;91;14,3;83,5;2,2;46;13,0;67,4;19,6;
Arbråskolan F-9;75662206;Bollnäs;2183;Kommunal;Bollnäs kommun;2120002361;.;.;.;.;16;.;56,3;43,8;18;.;88,9;11,1;.;.;.;.;
Friskolan Lust & Lära;91187921;Bollnäs;2183;Enskild;Friskolan Lust & Lära i Bollnäs AB;5567748149;120;8,3;45,0;46,7;120;.;76,7;23,3;124;7,3;79,0;13,7;.;.;.;.;
Kilafors skola F-9;41793797;Bollnäs;2183;Kommunal;Bollnäs kommun;2120002361;17;11,8;52,9;35,3;16;.;56,3;43,8;18;5,6;94,4;.;.;.;.;.;
Slottsskolan;80852248;Borgholm;0885;Kommunal;Borgholms kommun;2120000795;68;5,9;82,4;11,8;70;5,7;64,3;30,0;70;10,0;81,4;8,6;.;.;.;.;
Åkerboskolan;82520504;Borgholm;0885;Kommunal;Borgholms kommun;2120000795;17;.;100,0;.;17;.;64,7;35,3;17;11,8;88,2;.;.;.;.;.;
Domnarvets skola;91219337;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;57;10,5;70,2;19,3;71;1,4;78,9;19,7;75;8,0;76,0;16,0;.;.;.;.;
Forssaklackskolan;84601215;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;111;2,7;66,7;30,6;154;.;69,5;30,5;141;10,6;67,4;22,0;33;18,2;60,6;21,2;
Gylle skola 7-9;11406792;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;83;4,8;69,9;25,3;115;0,9;80,0;19,1;123;9,8;79,7;10,6;.;.;.;.;
Kunskapsskolan Borlänge;70510891;Borlänge;2081;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;71;16,9;52,1;31,0;85;.;61,2;38,8;92;.;75,0;25,0;17;11,8;58,8;29,4;
Maserskolan;56442130;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;53;11,3;58,5;30,2;83;.;74,7;25,3;78;5,1;74,4;20,5;28;10,7;60,7;28,6;
Ornäs skola;58395955;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;46;19,6;45,7;34,8;51;.;51,0;49,0;51;2,0;80,4;17,6;.;.;.;.;
Bodaskolan 7-9;67454907;Borås;1490;Kommunal;Borås kommun;2120001561;101;4,0;49,5;46,5;140;0,7;69,3;30,0;136;8,1;78,7;13,2;32;3,1;71,9;25,0;
Borås Kristna skola;64720166;Borås;1490;Enskild;AB Borås Kristna Skola;5592935042;15;.;33,3;66,7;22;.;81,8;18,2;24;25,0;75,0;.;.;.;.;.;
Dalsjöskolan 7-9;60557814;Borås;1490;Kommunal;Borås kommun;2120001561;118;4,2;62,7;33,1;122;2,5;64,8;32,8;125;18,4;76,0;5,6;.;.;.;.;
Daltorpskolan 7-9;97706771;Borås;1490;Kommunal;Borås kommun;2120001561;136;1,5;58,1;40,4;163;3,1;89,0;8,0;155;13,5;72,9;13,5;25;4,0;48,0;48,0;
Engelbrektskolan 7-9;86215855;Borås;1490;Kommunal;Borås kommun;2120001561;94;1,1;62,8;36,2;112;2,7;79,5;17,9;104;4,8;84,6;10,6;16;6,3;87,5;6,3;
Erikslundskolan 7-9;73269899;Borås;1490;Kommunal;Borås kommun;2120001561;37;10,8;51,4;37,8;60;.;63,3;36,7;59;10,2;78,0;11,9;20;.;40,0;60,0;
Fristadskolan 7-9;86708639;Borås;1490;Kommunal;Borås kommun;2120001561;108;8,3;64,8;26,9;122;0,8;88,5;10,7;118;18,6;72,0;9,3;.;.;.;.;
Internationella Engelska Skolan Borås;58354320;Borås;1490;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;68;5,9;86,8;7,4;87;2,3;83,9;13,8;86;9,3;86,0;4,7;18;5,6;66,7;27,8;
Kunskapsskolan Borås;10257640;Borås;1490;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;87;8,0;66,7;25,3;99;5,1;81,8;13,1;91;15,4;75,8;8,8;.;.;.;.;
Malmen Montessori;10132939;Borås;1490;Enskild;Malmen Montessori;8645012132;46;6,5;39,1;54,3;45;.;66,7;33,3;42;16,7;54,8;28,6;.;.;.;.;
Sandgärdskolan;98081621;Borås;1490;Kommunal;Borås kommun;2120001561;138;8,0;61,6;30,4;143;0,7;75,5;23,8;143;24,5;61,5;14,0;.;.;.;.;
Särlaskolan 7-9;23108037;Borås;1490;Kommunal;Borås kommun;2120001561;31;3,2;71,0;25,8;57;.;64,9;35,1;53;11,3;69,8;18,9;30;6,7;73,3;20,0;
Viskaforsskolan 7-9;50756758;Borås;1490;Kommunal;Borås kommun;2120001561;66;13,6;74,2;12,1;80;1,3;93,8;5,0;76;7,9;90,8;1,3;.;.;.;.;
Björkhaga Skola;43238662;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;34;5,9;64,7;29,4;43;.;74,4;25,6;44;43,2;52,3;4,5;.;.;.;.;
Botkyrka Friskola F-9;80378022;Botkyrka;0127;Enskild;JPK Education AB;5564944063;15;13,3;60,0;26,7;34;.;100,0;.;35;34,3;60,0;5,7;15;20,0;53,3;26,7;
Broängsskolan;38661388;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;77;2,6;72,7;24,7;77;5,2;77,9;16,9;77;14,3;80,5;5,2;.;.;.;.;
Brunnaskolan;53426548;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;.;.;.;.;51;.;72,5;27,5;51;.;64,7;35,3;38;2,6;78,9;18,4;
Falkbergsskolan;85558618;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;92;2,2;71,7;26,1;94;.;75,5;24,5;97;7,2;92,8;.;.;.;.;.;
Fittjaskolan Botkyrka Norra;40631085;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;.;.;.;.;56;1,8;71,4;26,8;58;6,9;75,9;17,2;51;.;45,1;54,9;
Freinetskolan Kastanjen;29524966;Botkyrka;0127;Enskild;Freinetskolan Kastanjen Ekonomisk Förening;7696000590;.;.;.;.;16;.;62,5;37,5;16;6,3;62,5;31,3;.;.;.;.;
Grindtorpsskolan;57228484;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;23;4,3;47,8;47,8;41;.;80,5;19,5;40;10,0;77,5;12,5;19;.;63,2;36,8;
Hammerstaskolan;25918983;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;16;.;31,3;68,8;33;.;72,7;27,3;29;3,4;93,1;3,4;16;.;56,3;43,8;
JENSEN grundskola Kvarnsjön;80731562;Botkyrka;0127;Enskild;Jensen Education College AB;5566358759;50;.;66,0;34,0;49;.;77,6;22,4;52;.;61,5;38,5;.;.;.;.;
Karsby International School;67742754;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;31;3,2;83,9;12,9;39;.;97,4;2,6;38;.;89,5;10,5;.;.;.;.;
Kunskapsskolan Tumba;84411355;Botkyrka;0127;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;68;11,8;54,4;33,8;78;.;67,9;32,1;82;15,9;75,6;8,5;.;.;.;.;
Kvarnhagsskolan;56417100;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;.;.;.;.;44;.;81,8;18,2;41;12,2;85,4;2,4;43;.;88,4;11,6;
Malmsjö skola;86985859;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;40;.;77,5;22,5;37;5,4;54,1;40,5;44;6,8;65,9;27,3;.;.;.;.;
Rikstens skola;75580959;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;42;14,3;54,8;31,0;45;.;77,8;22,2;48;8,3;81,3;10,4;.;.;.;.;
Storvretskolan;18534178;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;.;.;.;.;43;14,0;76,7;9,3;42;19,0;73,8;7,1;35;.;71,4;28,6;
Trädgårdsstadsskolan;58310322;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;80;3,8;53,8;42,5;79;2,5;79,7;17,7;73;19,2;72,6;8,2;.;.;.;.;
Tunaskolan;36350546;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;59;13,6;74,6;11,9;70;.;94,3;5,7;71;11,3;87,3;1,4;.;.;.;.;
Stenbockskolan MH;23991743;Boxholm;0560;Kommunal;Boxholms kommun;2120000407;41;9,8;73,2;17,1;39;2,6;84,6;12,8;44;9,1;84,1;6,8;.;.;.;.;
Dalaskolan Södra;79707757;Bromölla;1272;Kommunal;Bromölla kommun;2120000894;30;16,7;63,3;20,0;36;.;66,7;33,3;39;28,2;71,8;.;.;.;.;.;
Humleskolan;18195751;Bromölla;1272;Kommunal;Bromölla kommun;2120000894;87;10,3;54,0;35,6;94;2,1;47,9;50,0;91;12,1;68,1;19,8;.;.;.;.;
Bräcke skola;63287550;Bräcke;2305;Kommunal;Bräcke kommun;2120002460;17;17,6;52,9;29,4;23;.;91,3;8,7;21;4,8;76,2;19,0;.;.;.;.;
Gällö skola;34671510;Bräcke;2305;Kommunal;Bräcke kommun;2120002460;.;.;.;.;16;.;68,8;31,3;16;56,3;43,8;.;.;.;.;.;
Dalslundskolan 7-9;58712142;Burlöv;1231;Kommunal;Burlövs kommun;2120001025;54;11,1;64,8;24,1;63;.;87,3;12,7;61;18,0;75,4;6,6;.;.;.;.;
Vårboskolan;95748172;Burlöv;1231;Kommunal;Burlövs kommun;2120001025;45;2,2;80,0;17,8;84;.;91,7;8,3;88;8,0;84,1;8,0;42;4,8;81,0;14,3;
Förslövs skola F-9;94453321;Båstad;1278;Kommunal;Båstads kommun;2120000944;57;5,3;86,0;8,8;61;3,3;83,6;13,1;59;33,9;61,0;5,1;.;.;.;.;
Strandängsskolan F-9;16148785;Båstad;1278;Kommunal;Båstads kommun;2120000944;82;14,6;62,2;23,2;92;1,1;70,7;28,3;91;11,0;78,0;11,0;.;.;.;.;
Hagaskolan;93081338;Dals-Ed;1438;Kommunal;Dals-Eds kommun;2120001413;36;5,6;88,9;5,6;38;.;50,0;50,0;37;13,5;83,8;2,7;.;.;.;.;
Fribergaskolan;42986451;Danderyd;0162;Kommunal;Danderyds kommun;2120000126;176;5,7;72,2;22,2;174;2,3;86,2;11,5;174;9,2;85,1;5,7;.;.;.;.;
Mörbyskolan;97174070;Danderyd;0162;Kommunal;Danderyds kommun;2120000126;148;2,7;75,7;21,6;152;1,3;86,2;12,5;156;16,7;80,8;2,6;.;.;.;.;
Viktor Rydbergs Samskola;13493243;Danderyd;0162;Enskild;Stiftelsen Viktor Rydbergs Skolor;8120005650;177;6,2;79,7;14,1;186;3,8;87,6;8,6;174;14,4;82,8;2,9;.;.;.;.;
Stora Vallaskolan;96969231;Degerfors;1862;Kommunal;Degerfors kommun;2120001934;64;3,1;68,8;28,1;90;1,1;77,8;21,1;87;12,6;72,4;14,9;16;6,3;75,0;18,8;
Strandenskolan F-9;17181067;Dorotea;2425;Kommunal;Dorotea kommun;2120002809;15;.;53,3;46,7;15;.;86,7;13,3;.;.;.;.;.;.;.;.;
Gunnarsbyskolan F-9;69352527;Eda;1730;Kommunal;Eda kommun;2120001769;23;13,0;56,5;30,4;39;.;92,3;7,7;35;8,6;80,0;11,4;.;.;.;.;
Hierneskolan F-9;55674136;Eda;1730;Kommunal;Eda kommun;2120001769;22;22,7;68,2;9,1;22;.;90,9;9,1;20;40,0;60,0;.;.;.;.;.;
Birkaskolan;27595656;Ekerö;0125;Enskild;Mälaröarnas Montessori, Ek. För.;7696032353;30;3,3;50,0;46,7;29;.;55,2;44,8;31;12,9;80,6;6,5;.;.;.;.;
Drottningholmskolan;28231215;Ekerö;0125;Enskild;Drottningholmskolan, Mälaröarnas Waldorfskola;8152013010;.;.;.;.;15;.;100,0;.;.;.;.;.;.;.;.;.;
Tappströmsskolan;52217632;Ekerö;0125;Kommunal;Ekerö kommun;2120000050;186;7,0;69,4;23,7;188;1,1;84,0;14,9;178;10,7;86,0;3,4;.;.;.;.;
Träkvista skola;66475520;Ekerö;0125;Kommunal;Ekerö kommun;2120000050;52;.;86,5;13,5;56;.;91,1;8,9;53;5,7;92,5;1,9;.;.;.;.;
Uppgårdskolan;95057356;Ekerö;0125;Kommunal;Ekerö kommun;2120000050;101;7,9;51,5;40,6;104;1,0;63,5;35,6;107;37,4;50,5;12,1;.;.;.;.;
Furulundsskolan;48108874;Eksjö;0686;Kommunal;Eksjö kommun;2120000589;28;3,6;57,1;39,3;35;.;94,3;5,7;36;13,9;83,3;2,8;.;.;.;.;
Prästängsskolan A;48457931;Eksjö;0686;Kommunal;Eksjö kommun;2120000589;57;10,5;64,9;24,6;73;.;84,9;15,1;70;10,0;80,0;10,0;.;.;.;.;
Prästängsskolan B;98124174;Eksjö;0686;Kommunal;Eksjö kommun;2120000589;52;5,8;57,7;36,5;71;1,4;80,3;18,3;63;3,2;81,0;15,9;17;11,8;64,7;23,5;
Bjurbäcksskolan 7-9;37716305;Emmaboda;0862;Kommunal;Emmaboda kommun;2120000738;69;10,1;65,2;24,6;93;2,2;48,4;49,5;88;11,4;77,3;11,4;19;.;89,5;10,5;
Bergvretenskolan;56521117;Enköping;0381;Kommunal;Enköpings kommun;2120000282;61;8,2;44,3;47,5;63;4,8;77,8;17,5;65;9,2;73,8;16,9;.;.;.;.;
Entréskolan Enköping;97000303;Enköping;0381;Enskild;AmiSgo AB;5568148117;22;9,1;77,3;13,6;22;.;77,3;22,7;23;.;91,3;8,7;.;.;.;.;
Enöglaskolan;12753670;Enköping;0381;Kommunal;Enköpings kommun;2120000282;.;.;.;.;47;4,3;76,6;19,1;46;6,5;73,9;19,6;33;9,1;63,6;27,3;
Fjärdhundraskolan;94821900;Enköping;0381;Kommunal;Enköpings kommun;2120000282;26;7,7;42,3;50,0;30;.;63,3;36,7;28;.;89,3;10,7;.;.;.;.;
Korsängsskolan;96757645;Enköping;0381;Kommunal;Enköpings kommun;2120000282;30;20,0;56,7;23,3;15;13,3;80,0;6,7;49;12,2;71,4;16,3;18;5,6;55,6;38,9;
Kunskapsskolan Enköping;67723630;Enköping;0381;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;103;4,9;58,3;36,9;109;.;80,7;19,3;111;16,2;72,1;11,7;.;.;.;.;
Robinson Vårfru;83519502;Enköping;0381;Enskild;Tellusskolan AB;5568086085;42;28,6;71,4;.;41;4,9;56,1;39,0;42;14,3;78,6;7,1;.;.;.;.;
S:t Iliansskolan;34699165;Enköping;0381;Kommunal;Enköpings kommun;2120000282;67;17,9;62,7;19,4;89;.;39,3;60,7;85;31,8;63,5;4,7;23;13,0;87,0;.;
Örsundsbroskolan;98587494;Enköping;0381;Kommunal;Enköpings kommun;2120000282;33;3,0;69,7;27,3;34;.;64,7;35,3;32;6,3;71,9;21,9;.;.;.;.;
British Junior Secondary, Eskilstuna;50048111;Eskilstuna;0484;Enskild;British Schools AB;5567516389;73;4,1;91,8;4,1;84;.;82,1;17,9;84;1,2;95,2;3,6;.;.;.;.;
Djurgårdsskolan F-9;54605092;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;98;5,1;41,8;53,1;101;1,0;67,3;31,7;104;7,7;65,4;26,9;.;.;.;.;
Entréskolan Eskilstuna;10443922;Eskilstuna;0484;Enskild;AmiSgo AB;5568148117;47;.;72,3;27,7;50;.;84,0;16,0;49;14,3;81,6;4,1;.;.;.;.;
Faktoriet 7-9;64275635;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;114;7,0;54,4;38,6;116;.;72,4;27,6;116;14,7;67,2;18,1;.;.;.;.;
Fristadsskolan 7-9;26140079;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;90;3,3;51,1;45,6;132;1,5;60,6;37,9;127;9,4;70,1;20,5;42;7,1;61,9;31,0;
Gökstensskolan F-9;85601783;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;122;8,2;46,7;45,1;117;.;72,6;27,4;124;19,4;75,8;4,8;.;.;.;.;
Internationella Engelska Skolan Eskilstuna;36759013;Eskilstuna;0484;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;136;0,7;94,1;5,1;172;.;89,5;10,5;175;12,6;82,3;5,1;42;.;88,1;11,9;
Skiftingehus F-9;65025285;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;36;11,1;66,7;22,2;84;3,6;88,1;8,3;82;32,9;58,5;8,5;45;4,4;68,9;26,7;
Skogstorpsskolan F-9;30622727;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;112;9,8;48,2;42,0;125;.;49,6;50,4;115;13,0;71,3;15,7;.;.;.;.;
Stålforsskolan 7-9;14327803;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;65;6,2;64,6;29,2;134;.;85,1;14,9;130;16,2;74,6;9,2;71;1,4;78,9;19,7;
Tegelviken F-9;78673553;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;47;6,4;76,6;17,0;46;4,3;76,1;19,6;47;23,4;63,8;12,8;.;.;.;.;
Årbyskolan F-9;63315515;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;31;.;83,9;16,1;63;.;87,3;12,7;65;24,6;69,2;6,2;29;3,4;44,8;51,7;
Ekenässkolan;83526311;Eslöv;1285;Kommunal;Eslövs kommun;2120001173;101;5,9;58,4;35,6;122;.;64,8;35,2;135;21,5;70,4;8,1;25;.;68,0;32,0;
Källebergsskolan;26645758;Eslöv;1285;Kommunal;Eslövs kommun;2120001173;63;15,9;39,7;44,4;74;6,8;81,1;12,2;77;10,4;79,2;10,4;.;.;.;.;
Norrevångsskolan 7-9;37995642;Eslöv;1285;Kommunal;Eslövs kommun;2120001173;69;2,9;58,0;39,1;96;.;70,8;29,2;98;5,1;89,8;5,1;22;.;59,1;40,9;
Ölyckeskolan 7-9;97938241;Eslöv;1285;Kommunal;Eslövs kommun;2120001173;55;3,6;74,5;21,8;54;.;75,9;24,1;53;.;84,9;15,1;.;.;.;.;
