Statistik från Skolverket, https://www.skolverket.se

Grundskola - Relationen mellan nationella prov och slutbetyg årskurs 9, svenska/svenska som andraspråk, matematik och engelska
Valt läsår: 2022/23

Exporten visar statistik om det finns minst 15 elever i årskurs 9 med både slutbetyg och provbetyg i 
ämnena svenska, matematik eller engelska.
Om data saknas visas en prick (.) istället för utfall.

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Svenska, antal elever med provbetyg och slutbetyg;Svenska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Matematik, antal elever med provbetyg och slutbetyg;Matematik, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med lika slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med högre slutbetyg jämfört med provbetyget;Engelska, antal elever med provbetyg och slutbetyg;Engelska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Svenska som andraspråk, antal elever med provbetyg och slutbetyg;Svenska som andraspråk, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med högre slutbetyg jämfört med provbetyget;
Ahlafors Fria skola;71387206;Ale;1440;Enskild;Ahlafors Fria Skola Ekonomisk förening;7696142343;23;.;73,9;26,1;23;.;82,6;17,4;21;14,3;81,0;4,8;.;.;.;.;
Aroseniusskolan;48529699;Ale;1440;Kommunal;Ale kommun;2120001439;121;6,6;53,7;39,7;114;0,9;59,6;39,5;111;19,8;69,4;10,8;.;.;.;.;
Bohusskolan;11043800;Ale;1440;Kommunal;Ale kommun;2120001439;49;12,2;77,6;10,2;70;2,9;97,1;.;75;37,3;62,7;.;27;14,8;74,1;11,1;
Da Vinciskolan A-C;71893438;Ale;1440;Kommunal;Ale kommun;2120001439;62;4,8;69,4;25,8;65;3,1;86,2;10,8;58;3,4;91,4;5,2;.;.;.;.;
Da Vinciskolan D-F;71729095;Ale;1440;Kommunal;Ale kommun;2120001439;63;4,8;44,4;50,8;70;1,4;75,7;22,9;67;26,9;53,7;19,4;.;.;.;.;
Gustav Adolfsskolan;74064638;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;90;16,7;63,3;20,0;86;.;80,2;19,8;94;26,6;69,1;4,3;.;.;.;.;
Montessoriskolan Globen;87109819;Alingsås;1489;Enskild;Alingsås Montessori Skola Globen;8640009794;48;12,5;68,8;18,8;46;4,3;73,9;21,7;48;4,2;91,7;4,2;.;.;.;.;
Nolhagaskolan;84581048;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;121;9,1;71,1;19,8;135;1,5;81,5;17,0;129;16,3;74,4;9,3;.;.;.;.;
Sollebrunns skola F-9;76908037;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;33;9,1;57,6;33,3;35;.;62,9;37,1;37;21,6;70,3;8,1;.;.;.;.;
Vittra Gerdsken;98272016;Alingsås;1489;Enskild;Vittraskolorna AB;5564586716;49;.;83,7;16,3;46;4,3;67,4;28,3;47;34,0;59,6;6,4;.;.;.;.;
Östlyckeskolan 7-9;63399058;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;111;0,9;77,5;21,6;124;6,5;82,3;11,3;119;1,7;88,2;10,1;.;.;.;.;
Hagaskolan;67183147;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;99;2,0;60,6;37,4;119;0,8;53,8;45,4;136;6,6;79,4;14,0;36;.;27,8;72,2;
Mohedaskolan;69699568;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;39;5,1;66,7;28,2;43;.;97,7;2,3;47;8,5;87,2;4,3;.;.;.;.;
Vislandaskolan;88176175;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;52;1,9;78,8;19,2;59;1,7;96,6;1,7;60;11,7;85,0;3,3;.;.;.;.;
Furulidskolan;88669294;Aneby;0604;Kommunal;Aneby kommun;2120000498;63;11,1;58,7;30,2;77;1,3;67,5;31,2;75;22,7;77,3;.;.;.;.;.;
Gäddgårdsskolan 7-9;65483259;Arboga;1984;Kommunal;Arboga kommun;2120002122;51;15,7;70,6;13,7;54;.;63,0;37,0;59;27,1;67,8;5,1;.;.;.;.;
Stureskolan;13854755;Arboga;1984;Kommunal;Arboga kommun;2120002122;66;7,6;48,5;43,9;61;1,6;57,4;41,0;70;1,4;72,9;25,7;.;.;.;.;
Silverskolan;14254350;Arjeplog;2506;Kommunal;Arjeplogs kommun;2120002668;21;14,3;66,7;19,0;20;.;50,0;50,0;21;19,0;76,2;4,8;.;.;.;.;
